datetime,open,high,low,close,volume
2005-05-25,35.79000,36,35.70000,35.91000,5064800
2005-05-26,36.040001,36.090000,35.72000,35.94000,5880200
2005-05-27,35.95000,36.040001,35.71000,35.80000,6003700
2005-05-31,35.83000,36,35.64000,35.75,7597500
2005-06-01,35.56000,36.5,35.56000,35.76000,12206800
2005-06-02,35.25,35.78000,35.0099983,35.74000,15578700
2005-06-03,35.62000,35.85000,35.41000,35.55000,8616400
2005-06-06,35.47000,35.59000,35.20000,35.51000,5933100
2005-06-07,35.52000,35.94000,35.45000,35.48000,8578500
2005-06-08,35.55000,35.81000,35.48000,35.67000,7721800
2005-06-09,35.52000,35.70000,35.31000,35.5,7090400
2005-06-10,35.60000,35.64000,35.24000,35.43000,6504700
2005-06-13,35.29000,35.76000,35.27000,35.5,7127600
2005-06-14,35.45000,35.73000,35.39000,35.60000,5900100
2005-06-15,35.74000,35.90000,35.61000,35.71000,9128200
2005-06-16,35.66000,36.049999,35.61000,35.90000,9775400
2005-06-17,36.19000,36.20000,35.88000,36.080002,15436700
2005-06-20,35.90000,36.19000,35.80000,36.049999,8378700
2005-06-21,36.049999,36.14000,35.90000,36.040001,5783400
2005-06-22,36.20000,36.43000,36.060001,36.26000,9192700
2005-06-23,36.42000,36.43000,35.92000,35.93000,10695500
2005-06-24,35.90000,36.029999,35.40000,35.57000,12273900
2005-06-27,35.58000,35.77000,35.52000,35.59000,8561800
2005-06-28,35.77000,35.92000,35.62000,35.92000,5892400
2005-06-29,35.98000,36.099998,35.88000,35.96000,6204900
2005-06-30,35.71000,36,35.32000,35.32000,10788500
2005-07-01,35.22000,35.30000,35.0099983,35.060001,10686600
2005-07-05,35,35.28000,34.81000,34.97000,7921200
2005-07-06,35,35.15000,34.43000,34.60000,10760500
2005-07-07,34.60000,34.60000,34.30000,34.46000,10625900
2005-07-08,34.61000,35.029999,34.5,34.81000,9587000
2005-07-11,34.81000,35.33000,34.75,34.96000,8455100
2005-07-12,34.96000,35.35000,34.86000,35.25,14462200
2005-07-13,35.25,35.57000,35.17000,35.49000,11108900
2005-07-14,35.65000,35.86000,35.48000,35.69000,8773400
2005-07-15,35.69000,35.95000,35.60000,35.86000,7631300
2005-07-18,35.67000,35.69000,35.38000,35.51000,8386100
2005-07-19,35.51000,35.71000,35.099998,35.21000,12573900
2005-07-20,35.22000,35.51000,34.84000,35.16000,13308600
2005-07-21,35.70000,35.70000,35,35.40000,9322000
2005-07-22,35.40000,35.60000,35.32000,35.60000,6976600
2005-07-25,35.55000,35.60000,35.24000,35.44000,5979400
2005-07-26,35.64000,35.65000,35.31000,35.37000,6473500
2005-07-27,35.52000,35.53000,35.070000,35.35000,8414600
2005-07-28,35.36000,35.49000,35.18000,35.46000,7518400
2005-07-29,35.45000,35.45000,35.11000,35.14000,8494900
2005-08-01,35.32000,35.44000,35.15000,35.30000,7263000
