datetime,open,high,low,close,volume
2005-05-25,55.060001,55.98000,54.81000,55.68000,17737900
2005-05-26,56.049999,56.41000,55.71000,56.22000,12250500
2005-05-27,56.40000,56.90000,56.29000,56.80000,10305500
2005-05-31,57,57.099998,56.099998,56.20000,21371100
2005-06-01,56.45000,57.41000,56.33000,57.15000,14608600
2005-06-02,56.95000,57.57000,56.76000,57.32000,12542300
2005-06-03,57.20000,57.78000,57,57.15000,23718800
2005-06-06,57.30000,57.70000,57.020000,57.60000,12117900
2005-06-07,57.62000,58.15000,57.42000,57.45000,14346800
2005-06-08,57.36000,57.99000,56.70000,56.73000,20863100
2005-06-09,57,58.61000,56.70000,58.44000,17391200
2005-06-10,58.20000,58.54000,57.57000,58.38000,13328600
2005-06-13,58.25,58.88000,57.79000,58.45000,12380600
2005-06-14,58.25,58.88000,58.18000,58.55000,10536800
2005-06-15,58.94000,59.29000,58.65000,59.25,13406400
2005-06-16,59.25,60.20000,59.12000,60.12000,13447800
2005-06-17,60.79000,61.020000,60.12000,60.89000,24874400
2005-06-20,61.099998,61.13000,60.32000,60.85000,13543900
2005-06-21,60.40000,60.80000,59.5,59.51000,16595500
2005-06-22,59.85000,60.46000,59.099998,59.67000,18046100
2005-06-23,59.65000,60.28000,59.020000,59.020000,16241400
2005-06-24,59.12000,59.29000,58.15000,58.15000,21528700
2005-06-27,58.33000,59.40000,58.32000,59.30000,15478300
2005-06-28,59.35000,59.80000,58.84000,59.090000,15393200
2005-06-29,58.81000,59.099998,57.94000,58.44000,18130100
2005-06-30,58.44000,58.84000,57.46000,57.47000,20564100
2005-07-01,57.75,58.44000,57.60000,58.31000,12158700
2005-07-05,58.56000,60.23000,58.46000,60.14000,18103100
2005-07-06,60.5,60.73000,59.029999,59.11000,18228200
2005-07-07,58.65000,59.54000,58.29000,59.52000,16118200
2005-07-08,59.68000,60.12000,58.97000,59.40000,17006900
2005-07-11,59.39000,60,58.72000,59.97000,14818500
2005-07-12,59.97000,60.24000,59.40000,59.89000,18421700
2005-07-13,59.89000,60.049999,59.37000,59.76000,11568800
2005-07-14,59.89000,60.15000,58.31000,58.59000,20490100
2005-07-15,58.59000,58.94000,57.88000,58.16000,16691600
2005-07-18,58.020000,58.47000,57.69000,58.15000,13194200
2005-07-19,58.48000,58.82000,57.93000,58.78000,19056400
2005-07-20,58.5,59.020000,57.99000,59,19289500
2005-07-21,58.75,59.049999,57.85000,57.89000,16092700
2005-07-22,58.20000,59.70000,58.15000,59.5,19107400
2005-07-25,59.95000,60.47000,59.45000,59.94000,16941900
2005-07-26,59.85000,59.97000,59.5,59.60000,12079800
2005-07-27,59.80000,59.90000,58.85000,59.60000,13527500
2005-07-28,59.82000,60.11000,58.97000,60,19130300
2005-07-29,60.040001,60.17000,58.75,58.75,17608000
2005-08-01,59.23000,59.74000,59.14000,59.23000,13034900
2005-08-02,59.36000,59.81000,59.27000,59.81000,13280500
2005-08-03,60.090000,60.090000,58.87000,59,19117100
2005-08-04,58.97000,59.37000,58.5,58.52000,15883900
