datetime,open,high,low,close,volume
2005-05-25,46.65000,46.71000,46.060001,46.23500,3393200
2005-05-26,46.36000,47.23500,46.36000,47.21500,2630800
2005-05-27,47.20000,47.28000,46.79500,47.15500,1785400
2005-05-31,47.16000,47.48500,46.77500,47.055000,3546400
2005-06-01,46.97500,48.27500,46.90000,47.73500,4999200
2005-06-02,47.74500,48,47.45000,47.59000,2719000
2005-06-03,47.52500,47.80000,46.875,46.98500,3270400
2005-06-06,47.080002,47.46000,46.91000,47.075001,2420000
2005-06-07,47.11000,47.95500,47.040001,47.26500,3284200
2005-06-08,47.84000,48.45500,47.75,48.29000,7868800
2005-06-09,48.47500,49.29000,48.39500,48.72500,5370000
2005-06-10,48.92500,49.025002,48.125,48.51000,4947600
2005-06-13,48.52500,49.52500,48.33000,48.79000,4168400
2005-06-14,48.80000,49.45500,48.64000,49.28500,3807800
2005-06-15,49.29000,49.47500,48.69000,49.29000,3306600
2005-06-16,49.45000,49.53000,48.91500,49.15500,4154600
2005-06-17,49.5,50.42000,49.25,50.099998,7572800
2005-06-20,50,50.67500,49.74000,50.40000,4240600
2005-06-21,50.60000,51.49000,50.57000,51.099998,6815200
2005-06-22,51,51.12000,50.25,50.28500,4394000
2005-06-23,50,50.25,49.17500,49.23500,5938200
2005-06-24,49.23500,49.32000,48.20000,48.43000,7013000
2005-06-27,48.43000,49,48.0099983,48.46000,3729200
2005-06-28,48.625,48.99500,48.52000,48.90000,5409600
2005-06-29,48.90000,49.27500,48.25,48.32000,6020000
2005-06-30,48.15000,48.51500,47.64000,47.65500,6712200
2005-07-01,47.875,48.049999,47.75500,47.96500,4190400
2005-07-05,47.92500,48.25,47.69000,48.084999,4409400
2005-07-06,47.80000,48.040001,47.42500,47.65000,5080600
2005-07-07,47.65500,48.75500,47.5,48.67500,5581000
2005-07-08,48.875,49.71500,48.625,49.35000,5812600
2005-07-11,49.71500,50.075001,49.40000,49.98500,4666200
2005-07-12,49.98500,49.99500,49.20000,49.48000,7608800
2005-07-13,49.48000,49.93500,49.31000,49.92000,15703400
2005-07-14,50.20000,51.099998,49.5,51,7034100
2005-07-15,51,51,50.22000,50.67000,5129700
2005-07-18,50.75,51.40000,50.71000,50.82000,4145000
2005-07-19,52.37000,53.42000,52.26000,53.40000,13782200
2005-07-20,53.090000,53.60000,52.22000,53.20000,10212300
2005-07-21,53.27000,53.45000,52.049999,52.30000,8321200
2005-07-22,52.75,52.84000,51.76000,52.41000,5118200
2005-07-25,52.55000,52.67000,51.62000,51.85000,3809600
2005-07-26,52,52.23000,51.61000,51.82000,2777700
2005-07-27,52,52.79000,51.61000,52.79000,5410700
2005-07-28,53,54.60000,52.80000,54.45000,7655600
2005-07-29,54.049999,54.34000,53.35000,53.91000,5416700
2005-08-01,54.20000,54.45000,53.75,54.020000,2991200
2005-08-02,54.049999,54.57000,53.92000,54.46000,3050600
2005-08-03,54.23000,54.46000,53.98000,54.39000,3223900
2005-08-04,54.060001,54.23000,53.72000,54.020000,2862700
2005-08-05,54,54.15000,53.43000,53.61000,2600200
2005-08-08,53.98000,54.24000,53.5,53.68000,2043100
2005-08-09,54,54.40000,53.67000,54.34000,2262400
2005-08-10,54.63000,55.59000,54.56000,55,4334500
2005-08-11,55.15000,55.5,54.83000,55.5,2758300
2005-08-12,55.36000,55.37000,54.5,54.80000,2446700
2005-08-15,55.21000,55.36000,54.56000,55.26000,1769700
2005-08-16,54.40000,54.90000,53.61000,53.69000,4929400
2005-08-17,53.60000,53.85000,53.24000,53.46000,2256000
2005-08-18,53.35000,53.40000,52.70000,53.15000,2804500
2005-08-19,53.40000,54.95000,53.14000,54.82000,4109700
2005-08-22,55,55.5,54.54000,54.81000,3190000
2005-08-23,54.85000,55.17000,54.26000,54.69000,2297600
2005-08-24,54.60000,54.61000,53.0099983,53.21000,3824800
2005-08-25,53.22000,54.040001,53.20000,53.40000,2792200
2005-08-26,53.90000,53.99000,53.14000,53.49000,2675700
2005-08-29,53.15000,53.90000,53.049999,53.70000,2364200
2005-08-30,53.40000,53.91000,52.94000,53.78000,2737400
2005-08-31,54.11000,55.65000,53.88000,55.49000,6101400
2005-09-01,55.97000,57,55.80000,56.94000,6425000
2005-09-02,57.20000,58.80000,57,58.25,7003500
2005-09-06,57.78000,58.81000,57.45000,58.51000,7789300
2005-09-07,58.95000,59.13000,58.48000,59.070000,4964400
2005-09-08,58.20000,59.23000,57.88000,58.33000,3981900
2005-09-09,58.75,58.95000,58.41000,58.86000,2635200
2005-09-12,58.95000,59.29000,58.75,59.29000,2437900
2005-09-13,59.32000,59.88000,58.89000,59.40000,3694400
2005-09-14,59.40000,59.59000,58.16000,58.30000,2990000
2005-09-15,58.33000,58.53000,57.36000,57.74000,3496700
2005-09-16,58,58.17000,57.080002,57.72000,4872500
2005-09-19,57.70000,58.12000,56.64000,56.97000,3391300
2005-09-20,57.45000,57.82000,56.69000,56.81000,3755700
2005-09-21,56.70000,57.58000,56.36000,57.11000,4223200
2005-09-22,58,58.60000,57.78000,58,4259900
2005-09-23,58.38000,59.099998,58.15000,58.92000,3185400
2005-09-26,58.40000,58.55000,57.59000,58.34000,4682000
2005-09-27,58.40000,58.97000,57.90000,58.72000,3437700
2005-09-28,59.46000,59.56000,57,57.55000,3868600
2005-09-29,57.56000,58.24000,57.27000,57.99000,3083200
2005-09-30,58.28000,59.14000,58.0099983,58.75,3998200
2005-10-03,58.76000,59.23000,58.55000,59.0099983,2598600
2005-10-04,58.90000,59.84000,57.75,57.78000,3642200
2005-10-05,56.80000,57.66000,56.21000,56.22000,5207900
2005-10-06,56.35000,56.35000,54.5,55.19000,6340100
2005-10-07,55.52000,56.90000,55.5,56.62000,3593000
2005-10-10,56.55000,56.80000,55.080002,55.57000,3294400
2005-10-11,55.86000,56.54000,55.5,55.56000,3296200
2005-10-12,55.65000,56.23000,54.49000,54.76000,5345500
2005-10-13,54.56000,54.96000,53.28000,54,6138100
2005-10-14,54.40000,54.91000,54.34000,54.74000,4334200
2005-10-17,55.20000,55.39000,54.47000,55.029999,3286800
2005-10-18,54.87000,54.88000,53.95000,53.96000,3506900
2005-10-19,53.97000,55.45000,53.33000,55.43000,3169600
2005-10-20,55.18000,56.5,53.39000,54.029999,4197800
2005-10-21,49.26000,50.42000,48.25,48.92000,27359300
2005-10-24,49.5,50.35000,49.45000,50.31000,8559500
2005-10-25,50.43000,50.62000,49.98000,50.29000,6928900
2005-10-26,50.30000,51.15000,49.96000,50.55000,4674400
2005-10-27,50.45000,50.60000,49.75,49.90000,5285500
2005-10-28,50.15000,51.36000,49.81000,51.070000,4307200
2005-10-31,52,53.15000,51.68000,52.59000,6578000
2005-11-01,52.60000,53.18000,52.35000,52.72000,6512700
2005-11-02,52.85000,54.020000,52.81000,53.69000,4261900
2005-11-03,54.099998,54.51000,53.45000,53.48000,6196500
2005-11-04,53.76000,53.94000,53.40000,53.55000,3205900
2005-11-07,53.75,54.66000,53.40000,54.25,3193200
2005-11-08,54.25,54.69000,53.73000,54.25,3602200
2005-11-09,54.26000,54.54000,53.85000,54.099998,2819200
2005-11-10,53.93000,54.91000,53.82000,54.69000,2939600
2005-11-11,54.82000,54.99000,54.28000,54.87000,1872100
2005-11-14,54.80000,55.49000,54.62000,55.43000,3049000
2005-11-15,55.40000,55.96000,55.38000,55.90000,3922000
2005-11-16,55.90000,57.26000,55.90000,56.73000,4577900
2005-11-17,56.98000,57.5,56.58000,57.47000,4288900
2005-11-18,58,58,56.87000,57.28000,4075200
2005-11-21,57.099998,57.81000,56.69000,57.71000,2666000
2005-11-22,57.71000,58.90000,57.40000,58.76000,3216900
2005-11-23,58.60000,58.61000,57.86000,58.0099983,2714000
2005-11-25,58.020000,58.48000,57.89000,57.95000,815500
2005-11-28,57.98000,58.22000,57.12000,57.45000,2200900
2005-11-29,57.45000,57.80000,56.94000,57.099998,3592600
2005-11-30,57.25,57.99000,57.20000,57.78000,2709000
2005-12-01,58,59.029999,57.84000,59,3140300
2005-12-02,58.90000,59.45000,58.40000,58.81000,2262100
2005-12-05,58.65000,59.14000,57.82000,58.33000,3191600
2005-12-06,58.25,59.29000,57.99000,58.80000,2689400
2005-12-07,58.80000,59.080002,57.5,57.78000,3164300
2005-12-08,57.63000,58.19000,57.070000,57.34000,2813800
2005-12-09,57.59000,58.41000,57.31000,58.090000,2288300
2005-12-12,58.020000,58.54000,58,58.029999,1381800
2005-12-13,57.93000,59.42000,57.80000,58.97000,2670600
2005-12-14,58.73000,59,58.099998,58.75,2373800
2005-12-15,59.049999,59.5,58.62000,58.71000,2555400
2005-12-16,59,59.75,58.82000,59.64000,5106100
2005-12-19,58.65000,59,56.36000,56.83000,5652600
2005-12-20,57,57.72000,56.58000,56.74000,3488000
2005-12-21,57.099998,57.74000,56.76000,57.080002,2874900
2005-12-22,57.40000,58.71000,57.33000,58.45000,3101000
2005-12-23,58.46000,58.85000,58.24000,58.51000,1331800
2005-12-27,58.52000,59.39000,57.88000,57.89000,2143000
2005-12-28,58.049999,58.19000,57.37000,57.84000,2213900
2005-12-29,57.90000,58.79000,57.88000,58.14000,1619900
2005-12-30,57.85000,58.099998,57.57000,57.77000,2047500
2006-01-03,57.87000,58.11000,57.049999,57.80000,3697500
2006-01-04,57.95000,59.43000,57.55000,59.27000,4577200
2006-01-05,59.020000,59.86000,59,59.27000,4590700
2006-01-06,59.47000,60.76000,59.38000,60.45000,5692300
2006-01-09,60.45000,61.68000,60.45000,61.55000,4408800
2006-01-10,61.35000,61.52000,60.64000,61.30000,3188100
2006-01-11,60.87000,61.64000,60.70000,61.33000,2755600
2006-01-12,61.23000,62.66000,61.11000,62.21000,5322500
2006-01-13,62.020000,62.49000,61.87000,62.33000,1936700
2006-01-17,61.69000,63.15000,61.65000,62.96000,3623200
2006-01-18,62.36000,62.72000,61.70000,61.87000,3651400
2006-01-19,62.049999,63,61.90000,62.51000,2375600
2006-01-20,62.51000,62.51000,60.48000,60.78000,4439700
2006-01-23,60.75,61.44000,60.26000,61.040001,2706500
2006-01-24,60.79000,61.86000,60.75,61.35000,3291600
2006-01-25,61.5,63.25,61.11000,62.070000,4772400
2006-01-26,63.30000,65.44000,62.30000,65.17000,10318100
2006-01-27,65.90000,68.37000,65.15000,67.53000,7587800
2006-01-30,66.53000,68.12000,66.32000,67.010002,5077400
2006-01-31,67,68.17000,66.64000,67.90000,5655000
2006-02-01,68.099998,69.34000,67.90000,69.24000,4826100
2006-02-02,68.75,69.099998,67.99000,68.39000,4605500
2006-02-03,68.20000,68.97000,67.75,68.13000,3529800
2006-02-06,68.5,68.82000,68,68.70000,3745900
2006-02-07,68.30000,68.34000,66.93000,67.16000,4908000
2006-02-08,67.75,68.89000,67.36000,68.81000,3567300
2006-02-09,69,69.75,68.23000,68.45000,4016900
2006-02-10,68.15000,68.87000,67.78000,68.75,3167900
2006-02-13,68.30000,69.059998,67.88000,68.62000,2838400
2006-02-14,69,70.41000,68.23000,70.22000,4532100
