datetime,open,high,low,close,volume
2005-05-25,72.10325,72.68642,71.86424,72.65775,5735636
2005-05-26,73.087952,74.0057373,72.93499,73.74761,6100272
2005-05-27,73.71893,73.84321,73.16444,73.70937,3309439
2005-05-31,73.90057,74.0057373,72.17973,72.22753,6714274
2005-06-01,72.24665,74.091782,72.24665,73.46080,7720108
2005-06-02,73.37476,73.98662,73.30784,73.94837,4210778
2005-06-03,73.67113,73.70937,72.40918,72.45698,6432795
2005-06-06,72.46654,72.56214,71.62524,71.70172,6253616
2005-06-07,71.70172,72.74379,71.70172,71.73996,5467024
2005-06-08,71.73996,72.084129,71.34799,71.51051,4476880
2005-06-09,71.30019,72.15105,70.96558,71.63480,4626667
2005-06-10,71.46272,71.74952,70.84130,71.48183,5121007
2005-06-13,71.22371,72.59082,71.17591,71.74952,5978622
2005-06-14,71.74952,72.11281,71.44360,71.59656,4513385
2005-06-15,72.37093,73.13576,71.84512,72.94455,7430366
2005-06-16,73.040154,73.85278,72.95411,73.66157,8200640
2005-06-17,74.28298,74.31166,73.021034,73.030594,8989115
2005-06-20,72.68642,73.59464,72.24665,73.18356,3917898
2005-06-21,73.32696,73.61377,72.76291,73.049713,5584699
2005-06-22,73.45124,74.082214,73.29828,73.83365,5906030
2005-06-23,73.43212,73.58508,71.75908,72.093689,8123968
2005-06-24,71.86424,72.084129,70.74570,70.75526,11288537
2005-06-27,70.75526,71.48183,70.26768,70.63097,6788331
2005-06-28,70.58318,71.98853,70.21989,71.98853,8565485
2005-06-29,71.95029,72.35181,71.33843,71.44360,5772979
2005-06-30,71.51051,72.17017,70.81262,70.93690,6408842
2005-07-01,71.032501,72.017204,71.032501,71.38623,4553343
2005-07-05,71.10899,71.67304,70.89866,71.50095,5420163
2005-07-06,71.51051,72.80115,71.12811,72.47610,8377728
2005-07-07,71.84512,74.12046,71.70172,73.97706,11252031
2005-07-08,73.97706,76.022942,73.74761,75.81262,14058763
2005-07-11,75.90822,76.022942,75.066925,75.48757,7517288
2005-07-12,75.71702,76.95029,75.69790,76.52007,11448993
2005-07-13,77.59082,78.15488,77.59082,77.86807,11861640
2005-07-14,78.39388,79.034416,78.39388,78.79541,8939325
2005-07-15,78.80497,79.11090,77.93499,78.75717,7995729
2005-07-18,78.38432,80.24857,78.087952,78.21223,9106058
2005-07-19,80.99426,81.36711,80.019119,80.019119,14800586
2005-07-20,79.54111,81.22371,79.34035,80.87954,9752067
2005-07-21,80.87954,81.21415,79.73232,80.68834,8645504
2005-07-22,80.28680,80.90822,80.17208,80.72658,4780638
2005-07-25,80.28680,80.80306,80.22945,80.49713,4662859
2005-07-26,80.44933,80.64053,80.16252,80.42065,4751873
2005-07-27,80.11472,80.43021,79.16826,80.18164,5085861
2005-07-28,79.87572,80.27724,79.60803,80.11472,6474426
2005-07-29,79.63671,80.25813,79.56023,79.78967,4529494
2005-08-01,79.34991,80.16252,79.20650,79.76099,3832858
2005-08-02,79.60803,80.17208,79.38815,79.64627,5628212
2005-08-03,79.64627,80.49713,79.45507,80.36329,4451985
2005-08-04,80.066925,80.20077,79.33079,79.46463,5491395
2005-08-05,79.11090,80.057358,79.091782,79.69408,3885472
2005-08-08,79.74187,80.20077,79.36903,79.69408,4627818
2005-08-09,79.73232,80.25813,79.29254,79.82792,3968001
2005-08-10,79.97132,80.31549,78.36520,78.41300,5650910
2005-08-11,78.32696,79.11090,78.030594,79.024857,4780638
2005-08-12,78.53728,78.94837,78.45124,78.57552,4579597
2005-08-15,78.29828,79.29254,78.021034,78.87189,3588931
2005-08-16,78.46080,78.80497,77.52390,77.72466,4610140
2005-08-17,77.82027,78.33652,77.28490,77.72466,5076238
2005-08-18,77.53346,78.39388,77.24665,77.58126,3884112
2005-08-19,77.78203,79.63671,77.78203,79.12046,6779126
2005-08-22,79.11090,79.68451,78.25048,78.96750,5394431
2005-08-23,79.063095,79.48375,78.011475,78.42256,4184314
2005-08-24,77.94455,78.77629,77.65775,77.74379,4620810
2005-08-25,77.86807,77.86807,77.17017,77.53346,3771981
2005-08-26,77.25621,77.45698,76.73040,76.84512,5260648
2005-08-29,76.48183,78.15488,76.38623,77.76291,4210464
2005-08-30,77.43786,77.43786,76.46272,76.99809,5935213
2005-08-31,76.81644,77.23709,76.35755,77.074570,5649237
2005-09-01,76.63480,76.78777,75.85086,76.042068,6684568
2005-09-02,76.0038223,76.49139,75.96558,75.96558,3849908
2005-09-06,76.19503,77.61950,76.19503,77.45698,6595553
2005-09-07,77.15105,77.56214,76.78777,77.41874,4305650
2005-09-08,77.70554,77.93499,76.95985,77.24665,4474056
2005-09-09,77.30402,77.90631,76.97897,77.85851,4165381
2005-09-12,77.46654,78.49905,77.43786,77.89675,3862669
2005-09-13,77.90631,77.90631,76.97897,77.19885,5272781
2005-09-14,77.19885,77.82027,76.88336,76.94073,4066534
2005-09-15,76.89292,77.10325,76.16635,76.49139,5087849
2005-09-16,76.84512,76.95985,76.31931,76.79733,7975645
2005-09-19,76.23327,76.46272,75.53537,75.93690,5385331
2005-09-20,75.78394,76.14722,75.17208,75.23901,7449926
2005-09-21,74.56979,75.0095596,73.96750,74.14914,7453796
2005-09-22,74.14914,75.047798,73.90057,74.77055,7186438
2005-09-23,74.28298,74.67495,74.091782,74.56979,5684592
2005-09-26,74.86616,74.96176,73.54684,74.0057373,5683127
2005-09-27,73.77629,75.14340,73.76673,74.56023,5752582
2005-09-28,74.62715,76.22371,74.62715,76.0038223,8104094
2005-09-29,75.76482,77.0076447,75.40153,76.82600,6171086
2005-09-30,76.50095,76.95985,76.45316,76.69216,5791179
2005-10-03,76.69216,77.055450,76.0038223,76.91205,5541290
2005-10-04,77.10325,77.88719,76.41492,76.58700,6657895
2005-10-05,76.58700,77.13193,76.061188,76.30975,5228745
2005-10-06,76.30975,76.73996,75.23901,76.19503,8504189
2005-10-07,76.72084,77.55258,76.56788,76.95985,6412085
2005-10-10,77.66730,78.48949,77.51434,77.67686,8245513
2005-10-11,78.63289,79.84704,78.36520,79.53155,10231240
2005-10-12,79.11090,79.28298,78.34608,78.57552,7929517
2005-10-13,78.10708,79.54111,78.10708,78.58508,5785008
2005-10-14,78.96750,79.072655,78.011475,78.72849,5830090
2005-10-17,78.73805,79.34035,78.32696,78.95793,8331181
2005-10-18,80.62141,80.87954,79.68451,79.80879,12599384
2005-10-19,78.78585,80.49713,78.75717,80.46845,7847720
2005-10-20,80.30592,80.48757,79.23518,79.51243,6017324
2005-10-21,79.42638,80.30592,79.26386,79.66539,6297652
2005-10-24,79.49331,79.93307,78.96750,79.79923,5734381
2005-10-25,79.42638,80.25813,79.072655,79.69408,5641392
2005-10-26,79.32122,80.18164,79.082214,79.24474,4467257
2005-10-27,78.90057,79.28298,78.63289,78.69025,3876267
2005-10-28,78.69981,78.80497,76.95985,77.83939,7260600
2005-10-31,77.92543,78.68069,77.72466,78.27916,7877635
2005-11-01,78.25048,78.53728,77.71510,78.0019150,5913143
2005-11-02,77.62907,78.28872,77.093689,77.49522,6743980
2005-11-03,77.96367,79.37859,77.73422,79.22562,8044681
2005-11-04,79.26386,79.63671,79.015297,79.34991,4007644
2005-11-07,79.44550,80.16252,79.41682,79.93307,4660035
2005-11-08,79.74187,80.21033,79.45507,79.49331,3972708
2005-11-09,79.072655,79.66539,78.86234,79.19694,4117265
2005-11-10,79.063095,80.59274,78.68069,80.29636,4949672
2005-11-11,80.49713,81.10899,80.44933,80.83174,5064000
2005-11-14,80.54493,81.26195,80.41109,80.65009,4095404
2005-11-15,80.33461,82.12237,80.33461,81.76864,7145017
2005-11-16,81.69216,82.77247,81.63480,82.73422,7002029
2005-11-17,82.39006,83.15488,81.98853,83.068832,5537106
2005-11-18,84.13002,84.13002,83.33652,83.91013,8353147
2005-11-21,83.74761,84.0057373,83.18356,83.45124,5029063
2005-11-22,83.059273,84.20650,83.059273,84.12046,6052784
2005-11-23,84.24474,85.45889,84.082214,84.89484,5647668
2005-11-25,85.038239,85.39197,84.72276,84.89484,2300468
2005-11-28,84.89484,85.49713,84.84704,85.19121,5437003
2005-11-29,85.25813,85.98470,85.10516,85.18164,5383762
2005-11-30,85.13384,85.69790,84.82792,84.99044,6298489
2005-12-01,85.22945,85.79350,85.13384,85.28680,4883251
2005-12-02,85.086044,85.22945,84.47419,84.75143,4948103
2005-12-05,84.51243,84.75143,83.85278,84.54111,4208686
2005-12-06,84.66539,85.88910,84.66539,85.21989,5095589
2005-12-07,85.086044,85.96558,84.56023,84.81836,5527064
2005-12-08,84.67495,85,82.85851,83.65201,6053202
2005-12-09,82.98280,83.26960,82.53346,83.14532,6759043
2005-12-12,83.18356,83.50861,81.98853,82.17973,6322129
2005-12-13,80.78394,81.16635,79.82792,80.028679,13122384
2005-12-14,79.97132,80.25813,79.30210,79.47419,7491243
2005-12-15,79.23518,79.95220,79.11090,79.85660,6439071
2005-12-16,80.20077,80.30592,79.34991,79.70364,7738517
2005-12-19,79.56979,79.92352,79.015297,79.12046,5214728
2005-12-20,79.30210,79.44550,78.45124,78.85278,5518905
2005-12-21,78.83365,80.30592,78.83365,79.46463,7161753
2005-12-22,78.97706,79.56979,78.68069,79.56023,6875986
2005-12-23,80.30592,80.49713,79.72276,79.80879,3782545
2005-12-27,79.80879,80.78394,79.24474,79.34035,4579179
2005-12-28,79.44550,79.89484,79.15870,79.38815,4013293
2005-12-29,79.15870,79.40726,78.60421,78.77629,4140486
2005-12-30,78.25048,78.86234,77.97323,78.58508,5699654
2006-01-03,78.82409,78.91969,77.25621,78.45124,12253995
2006-01-04,78.58508,78.87189,77.75335,78.34608,10285109
2006-01-05,77.82027,79.25430,77.67686,78.87189,7545216
2006-01-06,80.25813,81.29063,79.74187,81.21415,8573957
2006-01-09,80.21033,80.54493,79.71320,80.047798,7166251
2006-01-10,79.49331,80.42065,79.46463,80.37285,5962200
2006-01-11,80.65965,81.080307,79.73232,80.46845,6042114
2006-01-12,80.13384,80.26768,79.73232,79.89484,5150609
2006-01-13,79.34991,79.78011,78.87189,79.51243,7239994
2006-01-17,79.15870,79.50287,78.91013,79.34991,9119446
2006-01-18,80.30592,80.97514,79.84704,80.11472,11490101
2006-01-19,80.43977,80.67878,79.36903,79.43594,6781741
2006-01-20,79.38815,79.39771,77.67686,77.78203,9001667
2006-01-23,77.75335,78.31740,77.36137,77.82983,6395349
2006-01-24,77.81071,78.53728,77.24665,77.29446,6348174
2006-01-25,77.48566,78.030594,77.065010,77.35181,6667518
2006-01-26,77.91587,78.059273,77.045891,77.17017,8169469
2006-01-27,77.19885,78.17400,77.19885,77.45698,6384156
2006-01-30,76.68260,78.21223,76.68260,78.040154,5570055
2006-01-31,77.91587,78.39388,77.60038,77.72466,7083094
2006-02-01,77.34225,78.62333,77.10325,78.33652,5668588
2006-02-02,77.86807,78.0019150,77.34225,77.65775,6483108
2006-02-03,77.0076447,77.21797,76.21415,76.45316,10305192
2006-02-06,76.42448,76.43404,75.45889,76.013382,10008651
2006-02-07,76.0038223,76.66348,75.81262,76.33843,5488676
2006-02-08,77.036331,77.34225,76.71128,77.24665,5260543
2006-02-09,76.86424,77.24665,76.0038223,76.86424,7959223
2006-02-10,76.86424,77.87763,76.67304,77.75335,5619007
2006-02-13,77.75335,78.30784,76.65392,76.90249,5499240
2006-02-14,77.0076447,77.86807,76.81644,77.52390,6354973
2006-02-15,77.30402,77.91587,76.95985,77.29446,5284392
2006-02-16,77.13193,77.35181,76.60612,77.35181,5554783
2006-02-17,77.35181,77.46654,76.60612,77.16061,5542545
2006-02-21,76.57744,77.19885,76.45316,76.95985,6106548
2006-02-22,76.48183,78.059273,76.45316,77.77247,5537838
2006-02-23,77.62907,77.76291,76.52007,76.67304,5208452
2006-02-24,77.10325,77.10325,76.33843,76.57744,4082747
2006-02-27,76.45316,77.33270,76.43404,77.084129,3961202
2006-02-28,76.57744,77.0076447,76.20459,76.71128,6234892
2006-03-01,76.67304,77.25621,76.27151,76.38623,5410226
2006-03-02,76.051628,76.68260,76.042068,76.42448,4622065
2006-03-03,76.013382,77.27534,76.013382,76.44360,4554702
2006-03-06,76.39579,77.093689,76.38623,76.48183,4926137
2006-03-07,76.49139,77.23709,76.34799,76.75908,4530017
2006-03-08,76.72084,78.011475,76.72084,77.57170,5826115
2006-03-09,77.68642,78.37476,77.24665,77.45698,4508992
2006-03-10,77.46654,78.63289,77.46654,77.98280,5007411
2006-03-13,77.97323,78.77629,77.86807,78.32696,4781684
2006-03-14,77.92543,79.34035,77.88719,79.23518,4725828
2006-03-15,79.015297,80.076485,79.0057373,79.71320,5617438
2006-03-16,79.76099,80.038239,78.97706,79.22562,4497277
2006-03-17,79.68451,79.74187,79.17782,79.63671,6709462
2006-03-20,79.45507,80.066925,79.34035,79.90440,4048334
2006-03-21,80.13384,81.25239,79.90440,80.12428,7744898
2006-03-22,79.68451,80.95602,79.68451,80.73614,5197156
2006-03-23,80.52581,80.56406,79.28298,79.54111,5340667
